,Unnamed: 0,Keyword/Keyword Phrase,Related Terms,Volume,CPC,URL,entity,matched_text,freebase_types,dbpedia_types,wikipedia_link,entity_per_url,total_url_per_keyword,percentage_entity_prominence
15962,16123,plumber,plumber edinburgh,2400,7.59,https://threebestrated.co.uk/plumbers-in-edinburgh,Gas,gas,"['/medicine/drug_dosage_form', '/chemistry/phase_of_matter']",[],http://en.wikipedia.org/wiki/Gas,16,288,5.555555556
17109,17290,plumber,plumber edinburgh,2400,7.59,https://celsiusplumbingandheating.com/,Information,information,"['/internet/website_category', '/media_common/quotation_subject', '/education/field_of_study', '/organization/contact_category']",[],http://en.wikipedia.org/wiki/Information,1,17,5.882352941
14312,14469,plumber,plumber edinburgh,2400,7.59,https://www.trustedtrader.scot/Edinburgh/search.php?bus_type=Plumbers,Plumber,Plumbers,"['/organization/organization_type', '/fictional_universe/character_occupation', '/organization/organization_sector', '/people/profession', '/business/industry']",[],http://en.wikipedia.org/wiki/Plumber,4,4,100
14328,14485,plumber,plumber edinburgh,2400,7.59,https://www.yell.com/s/plumbers-edinburgh.html,Plumbing,Plumbing,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,12,28,42.85714286
14702,14861,plumber,plumber edinburgh,2400,7.59,https://www.mybuilder.com/plumbers/midlothian/edinburgh,Plumbing,pipe,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,284,676,42.01183432
14706,14865,plumber,plumber edinburgh,2400,7.59,https://www.mybuilder.com/plumbers/midlothian/edinburgh,Plumbing,Plumber,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,284,676,42.01183432
15940,16101,plumber,plumber edinburgh,2400,7.59,https://threebestrated.co.uk/plumbers-in-edinburgh,Plumbing,Pipes,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,44,288,15.27777778
16176,16345,plumber,plumber edinburgh,2400,7.59,https://edinburgh-reviews.co.uk/6-of-the-most-recommended-plumbers-in-edinburgh/,Plumbing,Nelson Plumbing,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,80,112,71.42857143
17115,17296,plumber,plumber edinburgh,2400,7.59,https://celsiusplumbingandheating.com/,Safe,Safe,[],[],http://en.wikipedia.org/wiki/Safe,1,17,5.882352941
15464,15625,plumber,plumber edinburgh,2400,7.59,https://www.gumtree.com/plumbing-services/edinburgh,Shower,Shower,[],[],http://en.wikipedia.org/wiki/Shower,48,760,6.315789474
15503,15664,plumber,plumber edinburgh,2400,7.59,https://www.gumtree.com/plumbing-services/edinburgh,Shower,SHOWERS,[],[],http://en.wikipedia.org/wiki/Shower,48,760,6.315789474
16629,16808,plumber,plumber edinburgh,2400,7.59,https://www.emergencyplumbersedinburgh.co.uk/,Water,Water,"['/exhibitions/exhibition_subject', '/chemistry/molecular_entity', '/food/nutrient', '/cvg/computer_game_subject', '/food/ingredient', '/visual_art/visual_art_medium', '/chemistry/chemical_compound', '/book/book_subject', '/medicine/drug_ingredient']","['ChemicalSubstance', 'ChemicalCompound']",http://en.wikipedia.org/wiki/Water,4,76,5.263157895
1643,1643,plumber,plumber london,4400,14.21,https://www.my-plumber.co.uk/,Boiler,boiler,['/organization/organization_sector'],[],http://en.wikipedia.org/wiki/Boiler,16,286,5.594405594
1646,1646,plumber,plumber london,4400,14.21,https://www.my-plumber.co.uk/,Boiler,boilers,['/organization/organization_sector'],[],http://en.wikipedia.org/wiki/Boiler,16,286,5.594405594
1648,1648,plumber,plumber london,4400,14.21,https://www.my-plumber.co.uk/,Emergency,emergency,['/organization/contact_category'],[],http://en.wikipedia.org/wiki/Emergency,20,286,6.993006993
13779,13920,plumber,plumber london,4400,14.21,https://www.fantastichandyman.co.uk/plumbers-services/,Employment,job,"['/law/legal_subject', '/organization/contact_category', '/book/book_subject', '/internet/website_category', '/book/periodical_subject', '/organization/organization_sector']",[],http://en.wikipedia.org/wiki/Employment,4,76,5.263157895
13811,13952,plumber,plumber london,4400,14.21,https://www.fantastichandyman.co.uk/plumbers-services/,Employment,employee,"['/law/legal_subject', '/organization/contact_category', '/book/book_subject', '/internet/website_category', '/book/periodical_subject', '/organization/organization_sector']",[],http://en.wikipedia.org/wiki/Employment,4,76,5.263157895
13239,13373,plumber,plumber london,4400,14.21,https://www.plumblondon.com/,Gas,gas,"['/medicine/drug_dosage_form', '/chemistry/phase_of_matter']",[],http://en.wikipedia.org/wiki/Gas,8,132,6.060606061
9587,9634,plumber,plumber london,4400,14.21,https://www.ratedpeople.com/local-plumbers/london,Kitchen,kitchen,"['/organization/organization_sector', '/travel/accommodation_feature', '/book/book_subject']",[],http://en.wikipedia.org/wiki/Kitchen,12,144,8.333333333
1387,1387,plumber,plumber london,4400,14.21,https://www.aspect.co.uk/trades/plumbing-and-cold-water/,Plumbing,plumber,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,96,204,47.05882353
1392,1392,plumber,plumber london,4400,14.21,https://www.aspect.co.uk/trades/plumbing-and-cold-water/,Plumbing,plumbers,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,96,204,47.05882353
1402,1402,plumber,plumber london,4400,14.21,https://www.aspect.co.uk/trades/plumbing-and-cold-water/,Plumbing,plumbing,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,96,204,47.05882353
1684,1684,plumber,plumber london,4400,14.21,https://www.my-plumber.co.uk/,Plumbing,pipe,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,24,286,8.391608392
13394,13533,plumber,plumber london,4400,14.21,https://www.mybuilder.com/plumbers/england/london,Shower,shower,[],[],http://en.wikipedia.org/wiki/Shower,7,128,5.46875
9581,9628,plumber,plumber london,4400,14.21,https://www.ratedpeople.com/local-plumbers/london,Water,water,"['/exhibitions/exhibition_subject', '/chemistry/molecular_entity', '/food/nutrient', '/cvg/computer_game_subject', '/food/ingredient', '/visual_art/visual_art_medium', '/chemistry/chemical_compound', '/book/book_subject', '/medicine/drug_ingredient']","['ChemicalSubstance', 'ChemicalCompound']",http://en.wikipedia.org/wiki/Water,8,144,5.555555556
